t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
0,colonia,1,0,2940,0.015721,0.00443,24,mejora,8,0.16013,0.11331,0.18301,0.19968,0.23041,0.23016,0.23856,0.26259
1,colonia,1,0,3549,0.046095,0.03545,18,mejora,8,0.18384,0.44879,0.32559,0.33113,0.37946,0.62045,0.65954,0.51224
2,colonia,1,0,908,0.001216,1.0,0,estable,8,0.15349,0.12995,0.1431,0.19125,0.18302,0.2148,0.15309,0.12916
3,colonia,1,0,3798,0.018771,0.01874,20,mejora,8,0.45775,0.51959,0.54196,0.54256,0.53474,0.62949,0.54292,0.62935
4,colonia,1,0,282,0.023928,0.00443,24,mejora,8,0.56721,0.70781,0.73898,0.79108,0.78355,0.79302,0.8325,0.82487
5,colonia,1,0,1023,0.035455,0.01874,20,mejora,8,0.246,0.36292,0.51088,0.50237,0.47426,0.55185,0.54924,0.56571
6,colonia,1,2,5903,0.003593,0.71052,4,estable,8,0.23065,0.17527,0.16041,0.15299,0.15968,0.19057,0.19208,0.22288
7,colonia,1,0,915,-0.000729,0.90154,-2,estable,8,0.10553,0.04268,0.0506,0.02708,0.05057,0.04336,0.05909,0.04339
8,colonia,1,0,218,-0.003677,0.10776,-14,estable,8,0.19395,0.13757,0.12081,0.13736,0.14552,0.13612,0.11831,0.12912
9,colonia,1,0,377,-0.001395,0.71052,-4,estable,8,0.13109,0.08281,0.06779,0.0753,0.06694,0.07548,0.07242,0.0841
10,colonia,1,0,542,0.003888,0.26551,10,estable,8,0.24309,0.18344,0.20169,0.19227,0.20863,0.20783,0.21396,0.22061
11,colonia,1,3,1537,0.000254,0.90154,2,estable,8,0.18182,0.12099,0.12114,0.113,0.11273,0.12844,0.12275,0.13099
12,colonia,1,2,1223,-0.003571,0.38648,-8,estable,8,0.23222,0.18275,0.15965,0.14368,0.15156,0.17574,0.15224,0.16955
13,colonia,2,2,716,-0.006047,0.10776,-14,estable,8,0.20124,0.17567,0.16747,0.1601,0.15314,0.16011,0.14424,0.16783
