t,d,v,a,l,Veg_cat1,Veg_cat2,Veg_cat3,Veg_valor,Veg_prioridad,Veg_exoticas,Zona_Borthagaray,Conect_Borthagaray,lon_wgs84,lat_wgs84
0,colonia,1,0,2940,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-58.407828434957004,-33.92067495728746
1,colonia,1,0,3549,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-58.35785724138583,-33.95545980476429
2,colonia,1,0,908,Agua,Agua,,,Sitio a restaurar - urbano,,,,-58.3318335692424,-33.967183119585144
3,colonia,1,0,3798,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,,,-58.299790961351505,-34.003898940823
4,colonia,1,0,282,Herbazal,Herbazal halofito,,,Sitio a restaurar - rural,,,,-58.21548543917255,-34.13381861799412
5,colonia,1,0,1023,Bosque,Bosque psamofilo hidrofilo,,II,Sitio a restaurar - rural,,,,-58.07187172283789,-34.20418238011856
6,colonia,1,2,5903,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.86517117908967,-34.44439041534134
7,colonia,1,0,915,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.84005019928956,-34.473854010669974
8,colonia,1,0,218,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.83094427005701,-34.472980612856354
9,colonia,1,0,377,Agua,Agua,,,Sitio a restaurar - urbano,,,,-57.82029715300532,-34.472897978439214
10,colonia,1,0,542,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.60170498692743,-34.425750034869395
11,colonia,1,3,1537,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.59047437375142,-34.42500891672731
12,colonia,1,2,1223,Herbazal,Herbazal halofito,,,Sitio a restaurar - rural,,,,-57.577245616468765,-34.426524494205694
13,colonia,2,2,716,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - rural,,,,-57.45915649183245,-34.42746948282401
14,colonia,2,2,2726,Herbazal,Herbazal halofito,,,Sitio a restaurar - urbano,,,,-57.44032206967971,-34.43852535595819
15,colonia,1,0,653,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.29658538871522,-34.437158384367024
16,colonia,1,2,625,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.27117993003687,-34.435712251443924
17,colonia,1,0,535,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.264659712474675,-34.43581809448088
18,colonia,1,0,408,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.25950170857394,-34.43599142447413
19,colonia,1,0,348,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.25536713761052,-34.436165128718244
20,colonia,1,0,622,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.249912258903336,-34.43646179523823
21,colonia,1,1,920,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.24156595186303,-34.43689132897525
22,colonia,1,0,775,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,,,-57.19706771714652,-34.44026916931159
23,colonia,1,1,792,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,,,-57.17246004660384,-34.444305749706146
24,san jose,1,1,801,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - sin urbanizacion consolidada,,Oeste,Alta,-57.149264324662056,-34.44842611374171
25,san jose,1,2,306,Agua,Agua,,,Sitio a restaurar - rural,,Oeste,Alta,-56.75020500242996,-34.69840501147174
26,san jose,2,2,3271,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Oeste,Alta,-56.73049398938561,-34.70139487946377
27,san jose,2,2,120,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - sin urbanizacion consolidada,,Oeste,Alta,-56.708185001163585,-34.70579000169673
28,san jose,1,2,157,Agua,Agua,,,Sitio a restaurar - sin urbanizacion consolidada,,Oeste,Alta,-56.706642698171926,-34.70626310466944
29,san jose,1,2,78,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.70129500043125,-34.70759500075064
30,san jose,1,2,360,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Oeste,Alta,-56.70381051121939,-34.707021326572786
31,san jose,1,2,524,Agua,Agua,,,Sitio a restaurar - rural,,Oeste,Alta,-56.697866026540126,-34.70815829233624
32,san jose,2,2,854,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.461427133738816,-34.75196860713805
33,san jose,1,2,976,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.451970282146775,-34.752430765563524
34,san jose,1,0,510,Herbazal,Campo natural,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.428471957167275,-34.762270513909414
35,san jose,1,0,4027,Herbazal,Herbazal hidrofilo,"Caraguatal, Juncal, Pajonal",,Sitio a restaurar - urbano,,Oeste,Alta,-56.407618367057545,-34.77063723032625
36,san jose,1,0,1718,Herbazal,Herbazal hidrofilo,,,Sitio a restaurar - rural,,Oeste,Alta,-56.37779252731819,-34.780025692450536
37,san jose,1,0,958,Herbazal,Herbazal halofito,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.36161906407171,-34.78145421633367
38,montevideo,1,0,2599,Herbazal,Herbazal halofito,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.365462534443004,-34.79815012000835
39,montevideo,2,0,246,Agua,Agua,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.356916761674924,-34.79382904996244
40,montevideo,1,0,496,Herbazal,Herbazal psamofilo,,II,Sitio a restaurar - rural,,Oeste,Alta,-56.34078009479766,-34.87072951729968
41,montevideo,1,3,160,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Oeste,Alta,-56.296007955556114,-34.893254134117996
42,montevideo,1,0,159,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - rural,,Oeste,Alta,-56.26945125456233,-34.89851025652228
43,montevideo,1,0,446,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.25113270565794,-34.89619720157025
44,montevideo,1,0,1114,Matorral Y Bosque Psamofilo,Matorral y bosque psamofilo,,,Sitio a restaurar - urbano,,Oeste,Alta,-56.242523812162965,-34.87607425258733
45,montevideo,1,0,1818,Herbazal,Campo natural,,,Sitio a restaurar - urbano,,Centro,Baja,-56.21921626282588,-34.87447841295408
46,montevideo,1,0,2920,Herbazal,Campo natural,,,Sitio a restaurar - urbano,,Centro,Baja,-56.19988375579169,-34.89071240359428
47,montevideo,1,2,505,Herbazal,Herbazal halofito,,,Sitio a restaurar - urbano,,Centro,Baja,-56.17055600623671,-34.916768766275595
48,montevideo,1,2,1398,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Centro,Baja,-56.145467191397834,-34.91387267346529
49,montevideo,1,0,164,Agua,Agua,,,Sitio a restaurar - urbano,,Centro,Baja,-56.13147956494966,-34.905548713174845
50,montevideo,1,2,1029,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Centro,Baja,-56.11960014827664,-34.899612264738295
51,montevideo,1,2,1582,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Centro,Baja,-56.104406499396454,-34.89741654092128
52,montevideo,1,2,633,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Centro,Baja,-56.074961197678846,-34.898223890080395
53,montevideo,1,1,248,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Centro,Baja,-56.068632278499564,-34.89921118787541
54,montevideo,1,2,5109,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Este,Media,-56.041229176574184,-34.8859335866555
55,canelones,1,0,431,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-56.015400855657454,-34.873229060509246
56,canelones,1,2,14847,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - sin urbanizacion consolidada,,Este,Media,-55.934040941618754,-34.82747833337845
57,canelones,1,0,193,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Este,Media,-55.858500000987206,-34.79494000459493
58,canelones,1,1,1253,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.85091980558031,-34.79260014916247
59,canelones,1,0,1705,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.836429633697406,-34.786520272173696
60,canelones,1,0,1919,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.818227577590264,-34.77954087657357
61,canelones,1,1,1798,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Este,Media,-55.798695209708754,-34.77381580735897
62,canelones,1,2,1989,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.76949687896002,-34.77425608783473
63,canelones,1,2,1043,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.74822408370964,-34.7796880600481
64,canelones,1,2,1456,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Este,Media,-55.73544475135816,-34.77481520832066
65,canelones,1,2,2720,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.714245134073096,-34.76789719928457
66,canelones,1,2,3152,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.6793448448337,-34.76328906714148
67,canelones,1,0,1989,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.65690694150166,-34.77358421756551
68,canelones,1,2,1102,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - urbano,,Este,Media,-55.644499247249136,-34.77780165961903
69,canelones,1,0,219,Herbazal,Herbazal psamofilo,,III,Sitio a conservar,,Este,Media,-55.63773999447951,-34.77564500498107
70,canelones,1,2,761,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.61677672581692,-34.7721701242613
71,canelones,1,2,2335,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.59098918499579,-34.77544295095666
72,canelones,1,2,264,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - sin urbanizacion consolidada,,Este,Media,-55.57631000233998,-34.78316500854958
73,canelones,1,0,450,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - sin urbanizacion consolidada,,Este,Media,-55.56724655323181,-34.78408851466865
74,canelones,1,0,495,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.56216614138165,-34.78504334311818
75,canelones,1,0,242,Herbazal,Herbazal psamofilo,,,Sitio a restaurar - rural,,Este,Media,-55.55709500491565,-34.787965006696346
76,canelones,1,0,498,Agua,Agua,,,Sitio a restaurar - urbano,,Este,Media,-55.551549988289125,-34.78965002964807
77,canelones,1,2,1556,Herbazal,Herbazal psamofilo,,III,Sitio a conservar,,Este,Media,-55.54069898179429,-34.792090758802985
78,canelones,1,2,400,Herbazal,Herbazal psamofilo,,III,Sitio a conservar,,Este,Media,-55.5316529111615,-34.796429537009296
79,canelones,1,0,844,Herbazal,Herbazal psamofilo,,III,Sitio a conservar,,Este,Media,-55.509597281300124,-34.79472891877992
80,canelones,1,0,548,Herbazal,Herbazal psamofilo,,III,Sitio a conservar,,Este,Media,-55.50139857544732,-34.794987766339034
81,canelones,1,0,3127,Bosque,Bosque psamofilo,,II,Sitio a restaurar - rural,,Este,Media,-55.47613002637498,-34.796274944319784
